category_id,name,depth,parent_id,wikipedia_page_id,wikipedia_url,wikidata_iri,has_extract,n_concepts,n_children,extract_preview
academic-disciplines,Academic discipline,0,root,14924067,https://en.wikipedia.org/?curid=14924067,wd:Q11862829,1,0,5,An academic discipline or academic field is a subdivision of knowledge that is taught and researched at the college or university level. Disciplines are defined (in part) and recognized by the academi
formal-sciences,Formal science,1,academic-disciplines,3694774,https://en.wikipedia.org/?curid=3694774,wd:Q816264,1,0,4,"Formal science is a branch of science studying disciplines concerned with abstract structures described by formal systems. 
Whereas the natural sciences and social sciences seek to characterize physic"
humanities,Humanities,1,academic-disciplines,53132,https://en.wikipedia.org/?curid=53132,wd:Q80083,1,0,6,"Humanities are academic disciplines that study aspects of human society and culture, including certain fundamental questions asked by humans. During the Renaissance, the term ""humanities"" referred to "
natural-sciences,Natural science,1,academic-disciplines,38890,https://en.wikipedia.org/?curid=38890,wd:Q7991,1,0,5,"Natural science or empirical science is a branch of science concerned with the description, understanding, and prediction of natural phenomena, based on empirical evidence from observation and experim"
applied-sciences,Outline of applied science,1,academic-disciplines,33764165,https://en.wikipedia.org/?curid=33764165,wd:Q7112556,1,0,16,"The following outline is provided as an overview of and topical guide to applied science:
Applied science – the branch of science that applies existing scientific knowledge to develop more practical a"
social-sciences,Social science,1,academic-disciplines,26781,https://en.wikipedia.org/?curid=26781,wd:Q34749,1,0,10,"Social science (or the social sciences) is one of the branches of science, devoted to the study of societies and the relationships among members within those societies. The term was formerly used to r"
agricultural-and-food-sciences,Agricultural science,2,applied-sciences,572,https://en.wikipedia.org/?curid=572,wd:Q3606845,1,0,6,"Agricultural science (or agriscience for short) is a broad multidisciplinary field of biology that encompasses the parts of exact, natural, economic and social sciences that are used in the practice a"
anthropology,Anthropology,2,social-sciences,569,https://en.wikipedia.org/?curid=569,wd:Q23404,1,0,7,"Anthropology is the scientific study of humanity that crosses biology and sociology, concerned with human behavior, human biology, cultures, societies, and linguistics, in both the present and past, i"
architecture,Architecture,2,applied-sciences,21296224,https://en.wikipedia.org/?curid=21296224,wd:Q12271,1,0,3,"Architecture is the study and practice of designing structures, especially habitable ones. It utilizes civil engineering techniques, but is considered a visual art. It is both the process and the prod"
art,Art,2,humanities,752,https://en.wikipedia.org/?curid=752,wd:Q735,1,0,3,"Art is a diverse range of cultural activity centered around works utilizing creative or imaginative talents, which are expected to evoke a worthwhile experience, generally through an expression of emo"
astronomy,Astronomy,2,natural-sciences,50650,https://en.wikipedia.org/?curid=50650,wd:Q333,1,0,7,"Astronomy is a natural science that studies celestial objects and the phenomena that occur in the cosmos. It uses mathematics, physics, and chemistry to explain their origin and their overall evolutio"
biological-engineering,Biological engineering,2,applied-sciences,6074674,https://en.wikipedia.org/?curid=6074674,wd:Q580689,1,0,6,"Biological engineering or
bioengineering is the application of principles of biology and the tools of engineering to create usable, tangible, economically viable products.  Biological engineering empl"
biology,Biology,2,natural-sciences,9127632,https://en.wikipedia.org/?curid=9127632,wd:Q420,1,0,19,"Biology is the scientific study of life and living organisms. It is a broad natural science that encompasses a wide range of fields and unifying principles that explain the structure, function, growth"
business,Business,2,applied-sciences,39206,https://en.wikipedia.org/?curid=39206,wd:Q4830453,1,0,5,"Business is the practice of making one's living or making money by producing or buying and selling products (such as goods and services). It is also ""any activity or enterprise entered into for profit"
chemical-engineering,Chemical engineering,2,applied-sciences,6038,https://en.wikipedia.org/?curid=6038,wd:Q83588,1,0,7,Chemical engineering is an engineering field which deals with the study of the operation and design of chemical plants as well as methods of improving production. Chemical engineers develop economical
chemistry,Chemistry,2,natural-sciences,5180,https://en.wikipedia.org/?curid=5180,wd:Q2329,1,0,9,"Chemistry is the scientific study of the properties and behavior of matter. It is a physical science within the natural sciences that studies matter: composition, structure, properties, behavior and t"
civil-engineering,Civil engineering,2,applied-sciences,5762,https://en.wikipedia.org/?curid=5762,wd:Q77590,1,0,8,"Civil engineering is a professional engineering discipline that deals with the design, construction, and maintenance of the physical and naturally built environment, including public works such as roa"
communication-studies,Communication studies,2,social-sciences,489145,https://en.wikipedia.org/?curid=489145,wd:Q11680831,1,0,4,"Communication studies (or communication science) is an academic discipline that deals with processes of human communication and behavior, patterns of communication in interpersonal relationships, soci"
computer-engineering,Computer engineering,2,applied-sciences,50408,https://en.wikipedia.org/?curid=50408,wd:Q428691,1,0,14,"Computer engineering (CE, CoE, CpE, or CompE) is a branch of engineering specialized in developing computer hardware and software. 

It integrates several fields of electrical engineering, electronics"
earth-science,Earth science,2,natural-sciences,20653168,https://en.wikipedia.org/?curid=20653168,wd:Q8008,1,0,5,"Earth science or geoscience includes all fields of natural science related to planet Earth. This is a branch of science dealing with the physical, chemical, and biological complex constitutions and sy"
economics,Economics,2,social-sciences,9223,https://en.wikipedia.org/?curid=9223,wd:Q8134,1,0,5,"Economics () is a social science that studies how individuals and societies manage scarce resources for the production, distribution, and consumption of goods and services.
Economics focuses on the be"
education,Education,2,social-sciences,9252,https://en.wikipedia.org/?curid=9252,wd:Q8434,1,0,6,"Education is the transmission of knowledge and skills and the development of character traits. Formal education happens in a complex institutional framework, like public schools. Non-formal education "
electrical-engineering,Electrical engineering,2,applied-sciences,9531,https://en.wikipedia.org/?curid=9531,wd:Q43035,1,0,8,"Electrical engineering is an engineering discipline concerned with the study, design, and application of equipment, devices, and systems that use electricity, electronics, and electromagnetism. It eme"
energy-engineering,Energy engineering,2,applied-sciences,9348093,https://en.wikipedia.org/?curid=9348093,wd:Q3353193,1,0,8,"Energy engineering is a multidisciplinary field of engineering that focuses on optimizing energy systems, developing renewable energy technologies, and improving energy efficiency to meet the world's "
environmental-science,Environmental science,2,applied-sciences,64919,https://en.wikipedia.org/?curid=64919,wd:Q188847,1,0,5,"Environmental science is an academic field that integrates the physical, biological, and mathematical sciences to study the environment and solve environmental problems. It uses an integrated, quantit"
geography,Geography,2,social-sciences,18963910,https://en.wikipedia.org/?curid=18963910,wd:Q1071,1,0,2,"Geography (from Ancient Greek γεωγραφία geōgraphía; combining gê 'Earth' and gráphō 'write', lit. 'Earth writing') is the study of the lands, features, inhabitants, and phenomena of planet Earth. Geog"
history,History,2,humanities,10772350,https://en.wikipedia.org/?curid=10772350,wd:Q309,1,0,7,"History is the systematic study of the past, focusing primarily on the human past. As an academic discipline, it analyses and interprets evidence to construct narratives about what happened and explai"
industrial-and-production-engineering,Industrial and production engineering,2,applied-sciences,43282531,https://en.wikipedia.org/?curid=43282531,wd:Q18351432,1,0,6,"Industrial and production engineering (IPE) is an interdisciplinary engineering discipline that includes manufacturing technology, engineering sciences, management science, and optimization of complex"
information-engineering,Information engineering (field),2,applied-sciences,58644759,https://en.wikipedia.org/?curid=58644759,wd:Q1254373,1,0,7,"Information engineering is the engineering discipline that deals with the generation, distribution, analysis, and use of information, data, and knowledge in electrical systems. The field first became "
law,Law,2,humanities,18949668,https://en.wikipedia.org/?curid=18949668,wd:Q7748,1,0,3,"Law is a set of rules that are created and enforced by governmental or societal institutions to regulate behavior, with its precise definition a matter of longstanding debate. It has been variously de"
linguistics,Linguistics,2,social-sciences,22760983,https://en.wikipedia.org/?curid=22760983,wd:Q8162,1,0,6,"Linguistics is the scientific study of language. The areas of linguistic analysis are syntax (rules governing the structure of sentences), semantics (meaning), morphology (structure of words), phoneti"
literature,Literature,2,humanities,18963870,https://en.wikipedia.org/?curid=18963870,wd:Q8242,1,0,3,"Literature is any collection of written work. The term is also used more narrowly for writings considered an art form, especially novels, plays, and poems. It includes both print and digital writing. "
logic,Logic,2,formal-sciences,46426065,https://en.wikipedia.org/?curid=46426065,wd:Q8078,1,0,3,Logic is the study of correct reasoning. It includes both formal and informal logic. Formal logic is the study of deductively valid inferences or logical truths. It examines how conclusions follow fro
mathematics,Mathematics,2,formal-sciences,18831,https://en.wikipedia.org/?curid=18831,wd:Q395,1,0,11,"Mathematics is a field of study that discovers and organizes methods, theories, and theorems that are developed and proved either in response to the needs of empirical sciences or the needs of mathema"
mechanical-engineering,Mechanical engineering,2,applied-sciences,19528,https://en.wikipedia.org/?curid=19528,wd:Q101333,1,0,8,Mechanical engineering is the study of physical machines and mechanisms that may involve force and movement. It is an engineering branch that combines engineering physics and mathematics principles wi
military-science,Military science,2,applied-sciences,86586,https://en.wikipedia.org/?curid=86586,wd:Q192386,1,0,4,"Military science is the study of military processes, institutions, and behavior, along with the study of warfare, and the theory and application of organized coercive force. It is mainly focused on th"
health-sciences,Outline of health sciences,2,applied-sciences,14002,https://en.wikipedia.org/?curid=14002,wd:Q135264499,1,0,37,"The following outline is provided as an overview of and topical guide to health sciences:
Health sciences – those sciences that focus on health, or health care, as core parts of their subject matter. "
philosophy,Philosophy,2,humanities,13692155,https://en.wikipedia.org/?curid=13692155,wd:Q5891,1,0,9,"Philosophy (from Ancient Greek philosophía lit. 'love of wisdom') is a systematic study of general and fundamental questions concerning topics like existence, knowledge, mind, reason, language, and va"
physics,Physics,2,natural-sciences,22939,https://en.wikipedia.org/?curid=22939,wd:Q413,1,0,16,"Physics is the scientific study of matter, its fundamental constituents, its motion and behavior through space and time, and the related entities of energy and force. It is one of the most fundamental"
politics,Politics,2,social-sciences,22986,https://en.wikipedia.org/?curid=22986,wd:Q7163,1,0,4,Politics is the activity of settling affairs in an organized society. Politics is usually concerned with resolving issues within a society via a government. Politicians are individuals engaged in the 
psychology,Psychology,2,social-sciences,22921,https://en.wikipedia.org/?curid=22921,wd:Q9418,1,0,3,"Psychology is the scientific study of the mind and behavior. Its subject matter includes the behavior of humans and nonhumans, both conscious and unconscious phenomena, and mental processes such as th"
religion,Religion,2,humanities,25414,https://en.wikipedia.org/?curid=25414,wd:Q9174,1,0,2,"Religion is a range of social-cultural systems, including designated behaviors and practices, ethics, morals, beliefs, worldviews, texts, sanctified places, prophecies, or organizations, that generall"
research,Research,2,social-sciences,25524,https://en.wikipedia.org/?curid=25524,wd:Q42240,1,0,3,"Research is creative and systematic work undertaken to increase the stock of knowledge. It involves the collection, organization, and analysis of evidence to increase understanding of a topic, charact"
sociology,Sociology,2,social-sciences,18717981,https://en.wikipedia.org/?curid=18717981,wd:Q21201,1,0,4,"Sociology is the scientific study of human society that focuses on society, human social behavior, patterns of social relationships, social interaction, and aspects of culture associated with everyday"
statistics,Statistics,2,formal-sciences,26685,https://en.wikipedia.org/?curid=26685,wd:Q12483,1,0,6,"Statistics (from German: Statistik, orig. ""description of a state, a country"") is the discipline that concerns the collection, organization, analysis, interpretation, and presentation of data. In appl"
systems-science-and-engineering,Systems science,2,applied-sciences,659757,https://en.wikipedia.org/?curid=659757,wd:Q2167061,1,0,2,"Systems science, also referred to as systems research or simply systems, is a transdisciplinary field that is concerned with understanding simple and complex systems in nature and society, which leads"
theoretical-computer-science,Theoretical computer science,2,formal-sciences,323392,https://en.wikipedia.org/?curid=323392,wd:Q2878974,1,0,3,"Theoretical computer science is a subfield of computer science and mathematics that focuses on the abstract and mathematical foundations of computation.
It is difficult to circumscribe the theoretical"
accounting,Accounting,3,business,2593,https://en.wikipedia.org/?curid=2593,wd:Q4116214,1,0,5,"Accounting, also known as accountancy, is the process of recording and processing information about economic entities, such as businesses and corporations. Accounting measures the results of an organi"
acoustical-engineering,Acoustical engineering,3,mechanical-engineering,299813,https://en.wikipedia.org/?curid=299813,wd:Q859044,1,0,10,"Acoustical engineering (also known as acoustic engineering) is the branch of engineering dealing with sound and vibration. It includes the application of acoustics, the science of sound and vibration,"
aerospace-engineering,Aerospace engineering,3,mechanical-engineering,21732545,https://en.wikipedia.org/?curid=21732545,wd:Q3798668,1,0,19,Aerospace engineering is the primary field of engineering concerned with the development of aircraft and spacecraft.  It has two major and overlapping branches: aeronautical engineering and astronauti
aesthetics,Aesthetics,3,philosophy,2130,https://en.wikipedia.org/?curid=2130,wd:Q35986,1,0,6,"Aesthetics is the branch of philosophy that studies beauty, taste, and related phenomena. In a broad sense, it includes the philosophy of art, which examines the nature of art, artistic creativity, th"
agriculture,Agriculture,3,agricultural-and-food-sciences,627,https://en.wikipedia.org/?curid=627,wd:Q11451,1,0,6,"Agriculture is the practice of cultivating the soil, planting, raising, and harvesting both food and non-food crops, as well as livestock production. Broader definitions also include forestry and aqua"
algebra,Algebra,3,mathematics,18716923,https://en.wikipedia.org/?curid=18716923,wd:Q3968,1,0,15,"Algebra is a branch of mathematics that deals with abstract systems, known as algebraic structures, and the manipulation of expressions within those systems. It is a generalization of arithmetic that "
algorithms-and-data-structures,Algorithm,3,theoretical-computer-science,775,https://en.wikipedia.org/?curid=775,wd:Q8366,1,0,8,"In mathematics and computer science, an algorithm ( ) is a finite sequence of mathematically rigorous instructions, typically used to solve a class of specific problems or to perform a computation. Al"
analytical-chemistry,Analytical chemistry,3,chemistry,2408,https://en.wikipedia.org/?curid=2408,wd:Q2346,1,0,13,Analytical chemistry (or chemical analysis) is the branch of chemistry concerned with the development and application of methods to identify the chemical composition of materials and quantify the amou
anatomy,Anatomy,3,biology,674,https://en.wikipedia.org/?curid=674,wd:Q514,1,0,6,Anatomy (from Ancient Greek  ἀνατομή (anatomḗ) 'dissection') is the branch of morphology concerned with the study of the internal and external structure of organisms and their parts. Anatomy is a bran
ancient-history,Ancient history,3,history,51320,https://en.wikipedia.org/?curid=51320,wd:Q41493,1,0,2,"Ancient history is a time period from the beginning of writing and recorded human history through late antiquity. The span of recorded history is roughly 5,000 years, beginning with the development of"
anesthesiology,Anesthesiology,3,health-sciences,417068,https://en.wikipedia.org/?curid=417068,wd:Q615057,1,0,3,"Anesthesiology, anaesthesiology or anaesthesia is the medical specialty concerned with the total perioperative care of patients before, during and after surgery. It encompasses anesthesia, intensive c"
angiology,Angiology,3,health-sciences,2374165,https://en.wikipedia.org/?curid=2374165,wd:Q539690,1,0,3,"Angiology (from Greek ἀγγεῖον, angeīon, ""vessel""; and -λογία, -logia) is the medical specialty dedicated to studying the circulatory system and of the lymphatic system, i.e., arteries, veins and lymph"
animal-husbandry,Animal husbandry,3,agricultural-and-food-sciences,219640,https://en.wikipedia.org/?curid=219640,wd:Q80962,1,0,7,"Animal husbandry is the branch of agriculture concerned with animals that are raised for meat, fibre, milk, or other products. It includes day-to-day care, management, production, nutrition, selective"
applied-economics,Applied economics,3,economics,5944849,https://en.wikipedia.org/?curid=5944849,wd:Q3296256,1,0,7,"Applied economics is the application of economic theory and econometrics in specific settings. As one of the two sets of fields of economics (the other set being the core), it is typically characteriz"
applied-linguistics,Applied linguistics,3,linguistics,406551,https://en.wikipedia.org/?curid=406551,wd:Q321249,1,0,10,"Applied linguistics is an interdisciplinary field which identifies, investigates, and offers solutions to language-related real-life problems. Some of the academic fields related to applied linguistic"
applied-psychology,Applied psychology,3,psychology,326313,https://en.wikipedia.org/?curid=326313,wd:Q538904,1,0,16,Applied psychology is the use of psychological methods and findings of scientific psychology to solve practical problems of human and animal behavior and experience. Educational and organizational psy
aquaculture,Aquaculture,3,agricultural-and-food-sciences,1634,https://en.wikipedia.org/?curid=1634,wd:Q188989,1,0,6,"Aquaculture (less commonly spelled aquiculture), also known as aquafarming, is the controlled cultivation (""farming"") of aquatic organisms such as fish, crustaceans, mollusks, algae and other organism"
archaeology,Archaeology,3,anthropology,18951655,https://en.wikipedia.org/?curid=18951655,wd:Q23498,1,0,2,"Archaeology or archeology is the study of human activity through the recovery and analysis of material culture. The archaeological record consists of artifacts, architecture, biofacts or ecofacts, sit"
architectural-engineering,Architectural engineering,3,civil-engineering,19278728,https://en.wikipedia.org/?curid=19278728,wd:Q150737,1,0,3,"Architectural engineering or architecture engineering, also known as building engineering, is a discipline that deals with the engineering and construction of buildings, such as environmental, structu"
architectural-styles,Architectural style,3,architecture,44331442,https://en.wikipedia.org/?curid=44331442,wd:Q32880,1,0,8,"An architectural style is a classification of buildings (and nonbuilding structures) based on a set of characteristics and features, including overall appearance, arrangement of the components, method"
architectural-theory,Architectural theory,3,architecture,3704899,https://en.wikipedia.org/?curid=3704899,wd:Q47537,1,0,7,"Architectural theory is the act of thinking, discussing, and writing about architecture. Architectural theory is taught in all architecture schools and is practiced by the world's leading architects. "
arithmetic,Arithmetic,3,mathematics,3118,https://en.wikipedia.org/?curid=3118,wd:Q11205,1,0,2,"Arithmetic is an elementary branch of mathematics that deals with numerical operations like addition, subtraction, multiplication, and division. In a wider sense, it also includes exponentiation, extr"
artificial-intelligence,Artificial intelligence,3,information-engineering,1164,https://en.wikipedia.org/?curid=1164,wd:Q11660,1,0,8,"Artificial intelligence (AI) is the capability of computational systems to perform tasks typically associated with human intelligence, such as learning, reasoning, problem-solving, perception, and dec"
astrobiology,Astrobiology,3,astronomy,2787,https://en.wikipedia.org/?curid=2787,wd:Q411,1,0,3,"Astrobiology (also xenology or exobiology) is a scientific field within the life and environmental sciences that studies the origins, early evolution, distribution, and future of life in the universe "
astrochemistry,Astrochemistry,3,astronomy,71268,https://en.wikipedia.org/?curid=71268,wd:Q11680018,1,0,2,Astrochemistry is the interdisciplinary scientific study of the abundance and reactions of molecules in space and their interaction with radiation. The discipline overlaps with astronomy and chemistry
astrophotography,Astrophotography,3,astronomy,143115,https://en.wikipedia.org/?curid=143115,wd:Q280855,1,0,5,"Astrophotography, also known as astronomical imaging, is the photography or imaging of astronomical objects, celestial events, or areas of the night sky. The first photograph of an astronomical object"
astrophysics,Astrophysics,3,astronomy,361897,https://en.wikipedia.org/?curid=361897,wd:Q37547,1,0,9,Astrophysics is a science that applies the methods and principles of physics and chemistry in the study of astronomical objects and phenomena including the universe. As one of  the founders of the dis
atmospheric-science,Atmospheric science,3,earth-science,164633,https://en.wikipedia.org/?curid=164633,wd:Q757520,1,0,13,Atmospheric science is the study of the Earth's atmosphere and its various inner-working physical processes. Meteorology includes atmospheric chemistry and atmospheric physics with a major focus on we
atomic-physics,Atomic physics,3,physics,1200,https://en.wikipedia.org/?curid=1200,wd:Q26383,1,0,2,Atomic physics is the field of physics that studies atoms as an isolated system of electrons and an atomic nucleus. Atomic physics typically refers to the study of atomic structure and the interaction
